iter	MultiClass
0	1.691747172
1	1.607260431
2	1.530594844
3	1.459393978
4	1.405108967
5	1.357689557
6	1.315102121
7	1.274935827
8	1.239672696
9	1.208109373
10	1.17931476
11	1.154524667
12	1.130752123
13	1.108121849
14	1.087333237
15	1.068998395
16	1.052844682
17	1.03726715
18	1.023081796
19	1.009582319
20	0.9976308931
21	0.9864777231
22	0.9758613213
23	0.965191856
24	0.9567894706
25	0.9475881097
26	0.9391385446
27	0.9303497738
28	0.9209408963
29	0.9139176552
30	0.9071203045
31	0.9013323458
32	0.8945974483
33	0.8893767
34	0.8831347669
35	0.8785251661
36	0.8718717655
37	0.8678076893
38	0.8631487798
39	0.8571278709
40	0.8517435091
41	0.8465953748
42	0.842027363
43	0.8380119719
44	0.8339104925
45	0.8293581927
46	0.8261454977
47	0.8225339716
48	0.8187055399
49	0.8137055185
50	0.8106428019
51	0.8067854465
52	0.8039456897
53	0.8009894287
54	0.7984352086
55	0.7951153749
56	0.7923245497
57	0.7894561476
58	0.7873860142
59	0.7836768667
60	0.7806847163
61	0.7781081061
62	0.7752201469
63	0.7718365531
64	0.7691123859
65	0.7662419905
66	0.763889625
67	0.7620623523
68	0.7598173948
69	0.7583135836
70	0.756014815
71	0.7528609251
72	0.7496430441
73	0.7466305423
74	0.7429181685
75	0.7403839879
76	0.738899129
77	0.7359219466
78	0.7346697724
79	0.7332430135
80	0.7309766434
81	0.7288113268
82	0.7259147138
83	0.7227806456
84	0.7201644388
85	0.7181734066
86	0.7150624667
87	0.7127886791
88	0.7111498878
89	0.7094189001
90	0.7065525425
91	0.7038496408
92	0.7025424382
93	0.7004306984
94	0.6983103894
95	0.6967775581
96	0.6946584498
97	0.6927629622
98	0.6902417515
99	0.6878583394
100	0.6856489159
101	0.6833658608
102	0.6816080255
103	0.6808677467
104	0.6794398926
105	0.6783046424
106	0.6777730153
107	0.6762401502
108	0.6743912498
109	0.6725125317
110	0.6700780339
111	0.6682537438
112	0.6665695729
113	0.6638007899
114	0.6623552662
115	0.6605434798
116	0.6576945287
117	0.6549824126
118	0.6539352062
119	0.6512745242
120	0.6485108671
121	0.6462126258
122	0.6447465996
123	0.6438544043
124	0.6419885486
125	0.6399729186
126	0.6391747856
127	0.6369784039
128	0.6357621376
129	0.634284865
130	0.6324123968
131	0.6319966322
132	0.6292566602
133	0.626849747
134	0.6255581779
135	0.6242834615
136	0.6217012417
137	0.6199161195
138	0.6186634221
139	0.6154182731
140	0.6130317015
141	0.6116823418
142	0.6099537633
143	0.6080494199
144	0.6064528718
145	0.6044296083
146	0.6024661037
147	0.6020882182
148	0.6008746934
149	0.5983165215
150	0.5960526544
151	0.5944646054
152	0.5922960587
153	0.5901193981
154	0.587928196
155	0.5854668164
156	0.58334748
157	0.5818057637
158	0.5800510038
159	0.5784600207
160	0.5775928961
161	0.5760804626
162	0.5744804943
163	0.5727454731
164	0.5714622422
165	0.5693628303
166	0.5671079987
167	0.5664593381
168	0.5643974851
169	0.5617352112
170	0.5610608103
171	0.5602802605
172	0.5587526661
173	0.557364416
174	0.5563947621
175	0.5543645104
176	0.5521201514
177	0.5500271084
178	0.5479416273
179	0.5462857855
180	0.5443959105
181	0.5432186148
182	0.541831516
183	0.5408706161
184	0.5399196318
185	0.5395665933
186	0.5384058714
187	0.5372701875
188	0.535069612
189	0.5340931512
190	0.5327539267
191	0.5316326726
192	0.5297512503
193	0.5287926345
194	0.5259548345
195	0.52456232
196	0.5241189233
197	0.5229479597
198	0.5214191958
199	0.5184656748
200	0.516886229
201	0.5157872424
202	0.5142629847
203	0.512616872
204	0.511306939
205	0.50988139
206	0.5082469795
207	0.5067896834
208	0.5064064347
209	0.505103761
210	0.5039898583
211	0.5030778683
212	0.5016069593
213	0.5002754843
214	0.4993864123
215	0.4979339689
216	0.4967149824
217	0.4958308019
218	0.4947025263
219	0.4941144323
220	0.4930351811
221	0.4918592333
222	0.4908623891
223	0.4897307542
224	0.4888915694
225	0.4878096358
226	0.4864316682
227	0.4851834749
228	0.4845401619
229	0.483299861
230	0.4823367985
231	0.4810758109
232	0.4795988437
233	0.4782226918
234	0.4767932891
235	0.4760477567
236	0.4754496222
237	0.4741010904
238	0.4729101623
239	0.4720473239
240	0.471211948
241	0.4699203636
242	0.4680839249
243	0.4677681945
244	0.4665660507
245	0.4659721885
246	0.4648512142
247	0.4630205642
248	0.46172125
249	0.4608398779
250	0.4597060518
251	0.4588676089
252	0.4574989687
253	0.4567787407
254	0.4561841059
255	0.4548364211
256	0.4546556428
257	0.4538371564
258	0.4527793757
259	0.4515710687
260	0.4503984958
261	0.4493991554
262	0.4478278562
263	0.4465332988
264	0.4454547653
265	0.4447102386
266	0.4430859816
267	0.4420671678
268	0.4403982247
269	0.4397481256
270	0.438265986
271	0.4367639975
272	0.4360892478
273	0.4343352294
274	0.4335311898
275	0.4326765249
276	0.4320317367
277	0.4315312454
278	0.4308571553
279	0.4300647311
280	0.429441457
281	0.4279276686
282	0.4264356653
283	0.4249345731
284	0.4235758749
285	0.4225329334
286	0.4219893916
287	0.4207116575
288	0.4199591211
289	0.4191832379
290	0.4186028697
291	0.4175662149
292	0.4164394493
293	0.4147142274
294	0.4132098325
295	0.4121315932
296	0.4107361792
297	0.4092960633
298	0.4087388862
299	0.407642905
300	0.4067105548
301	0.4050658984
302	0.4040339837
303	0.4028019092
304	0.4022827789
305	0.4015153708
306	0.4002284675
307	0.3988603402
308	0.397714035
309	0.3971959734
310	0.3961135261
311	0.3954742264
312	0.3943942037
313	0.393714461
314	0.3925734799
315	0.3916934688
316	0.3904172013
317	0.3892694427
318	0.3882681098
319	0.3877536779
320	0.3871142821
321	0.3860024893
322	0.3853024051
323	0.3844457895
324	0.3837424727
325	0.3832118202
326	0.3822166376
327	0.3817744109
328	0.3811995952
329	0.379973931
330	0.3787005288
331	0.3776802312
332	0.3764980759
333	0.3762464903
334	0.3755870882
335	0.3750195134
336	0.3741326182
337	0.3732880658
338	0.3729065573
339	0.3718122295
340	0.3705941744
341	0.3696294744
342	0.3689932381
343	0.3677488703
344	0.3667944825
345	0.3657375264
346	0.3643297537
347	0.3638168758
348	0.3628062483
349	0.3621893428
350	0.3610761056
351	0.3607238182
352	0.3601892076
353	0.3583833334
354	0.3580135947
355	0.3568874086
356	0.3561993456
357	0.3554350448
358	0.3552832778
359	0.3545763341
360	0.3535523013
361	0.3522806314
362	0.3516141639
363	0.3503594108
364	0.3493691765
365	0.3483116269
366	0.3476435831
367	0.3463208373
368	0.3454822794
369	0.3448912187
370	0.3439678913
371	0.3433997784
372	0.3430201295
373	0.3421963458
374	0.3413259853
375	0.3408600773
376	0.3400125757
377	0.3393162133
378	0.3382919766
379	0.3375768181
380	0.3363714895
381	0.3357249597
382	0.3354464845
383	0.3343250502
384	0.3340447157
385	0.3330137351
386	0.3320857254
387	0.3317087813
388	0.3309897018
389	0.3302694023
390	0.3289465751
391	0.3284303582
392	0.3282040137
393	0.3274085548
394	0.326307677
395	0.3254909162
396	0.3245972076
397	0.3235676803
398	0.3232932768
399	0.321985537
400	0.3211746423
401	0.3203966713
402	0.319399809
403	0.3188242582
404	0.3186065828
405	0.3172602733
406	0.3165686077
407	0.3158531452
408	0.3152559075
409	0.3142276099
410	0.3130956406
411	0.3124443127
412	0.3117874373
413	0.3112111859
414	0.3103392157
415	0.3096320659
416	0.3088555682
417	0.3081978471
418	0.3073341225
419	0.3067090209
420	0.3057427594
421	0.3051791491
422	0.3047093211
423	0.3038227488
424	0.3031057095
425	0.3026175016
426	0.302112784
427	0.3013013863
428	0.3008541247
429	0.3001413841
430	0.2993968308
431	0.2991744201
432	0.2985962524
433	0.2976873563
434	0.2971333058
435	0.2966743144
436	0.2962042552
437	0.2957326237
438	0.2949209937
439	0.294403551
440	0.2940194979
441	0.293120075
442	0.2924701701
443	0.2920482454
444	0.2912879392
445	0.2909583982
446	0.2903202505
447	0.2900262207
448	0.2891861743
449	0.2889569308
450	0.2883957627
451	0.2879772569
452	0.2876063027
453	0.2870655803
