iter	Passed	Remaining
0	160	160834
1	184	91835
2	206	68712
3	218	54290
4	226	45040
5	232	38571
6	238	33846
7	243	30255
8	248	27412
9	253	25115
10	258	23236
11	263	21688
12	268	20390
13	273	19254
14	277	18243
15	281	17341
16	286	16563
17	290	15866
18	294	15226
19	299	14661
20	303	14158
21	308	13695
22	312	13278
23	316	12867
24	320	12504
25	325	12175
26	329	11864
27	334	11596
28	338	11326
29	342	11079
30	346	10837
31	350	10617
32	355	10408
33	360	10250
34	366	10093
35	370	9926
36	374	9758
37	379	9599
38	383	9457
39	388	9315
40	393	9212
41	399	9106
42	403	8990
43	408	8881
44	413	8768
45	417	8668
46	422	8557
47	426	8452
48	430	8359
49	434	8262
50	439	8176
51	443	8087
52	447	7995
53	452	7923
54	456	7850
55	461	7779
56	465	7708
57	470	7640
58	474	7572
59	478	7501
60	483	7439
61	487	7381
62	492	7320
63	496	7262
64	501	7206
65	505	7153
66	509	7098
67	514	7052
68	518	7001
69	523	6953
70	527	6906
71	531	6855
72	536	6810
73	541	6779
74	546	6742
75	551	6702
76	555	6659
77	559	6618
78	564	6577
79	568	6532
80	573	6508
81	579	6487
82	583	6450
83	588	6416
84	593	6386
85	597	6352
86	602	6318
87	606	6289
88	611	6256
89	615	6225
90	619	6193
91	624	6161
92	628	6129
93	633	6101
94	637	6073
95	642	6045
96	646	6017
97	650	5988
98	655	5961
99	659	5935
100	663	5908
101	668	5882
102	672	5857
103	676	5832
104	680	5803
105	685	5779
106	689	5755
107	694	5732
108	698	5710
109	702	5686
110	707	5664
111	711	5642
112	715	5619
113	721	5606
114	726	5591
115	731	5575
116	736	5558
117	741	5542
118	746	5527
119	751	5513
120	756	5495
121	761	5477
122	766	5461
123	771	5447
124	775	5431
125	780	5415
126	785	5397
127	789	5379
128	793	5360
129	798	5343
130	802	5326
131	807	5308
132	811	5290
133	815	5272
134	820	5256
135	824	5236
136	828	5219
137	832	5201
138	837	5185
139	841	5170
140	846	5154
141	850	5141
142	855	5125
143	859	5110
144	864	5095
145	868	5079
146	872	5063
147	876	5046
148	881	5034
149	886	5020
150	890	5006
151	894	4990
152	899	4981
153	905	4972
154	909	4960
155	914	4947
156	918	4933
157	923	4919
158	928	4909
159	932	4895
160	937	4883
161	942	4872
162	947	4862
163	952	4856
164	958	4850
165	962	4837
166	967	4824
167	971	4812
168	976	4799
169	980	4786
170	984	4772
171	988	4759
172	993	4747
173	997	4733
174	1001	4722
175	1006	4711
176	1011	4701
177	1015	4690
178	1020	4679
179	1024	4667
180	1029	4656
181	1033	4644
182	1037	4633
183	1042	4622
184	1046	4609
185	1050	4597
186	1054	4585
187	1058	4573
188	1063	4562
189	1068	4556
190	1073	4548
191	1079	4542
192	1084	4536
193	1091	4534
194	1096	4524
195	1100	4513
196	1105	4505
197	1112	4504
198	1117	4499
199	1122	4490
200	1127	4481
201	1131	4471
202	1136	4460
203	1140	4449
204	1144	4439
205	1148	4427
206	1153	4417
207	1158	4411
208	1163	4401
209	1167	4391
210	1171	4381
211	1176	4372
212	1181	4363
213	1186	4356
214	1190	4346
215	1194	4337
216	1199	4327
217	1203	4316
218	1207	4307
219	1212	4297
220	1216	4287
221	1220	4277
222	1224	4267
223	1229	4258
224	1233	4250
225	1238	4241
226	1242	4232
227	1247	4223
228	1252	4215
229	1257	4209
230	1262	4204
231	1267	4195
232	1271	4186
233	1276	4179
234	1281	4171
235	1286	4165
236	1292	4160
237	1296	4151
238	1300	4142
239	1305	4133
240	1310	4126
241	1314	4118
242	1319	4109
243	1323	4100
244	1327	4092
245	1332	4083
246	1336	4075
247	1341	4068
248	1346	4060
249	1350	4052
250	1355	4045
251	1360	4036
252	1364	4029
253	1369	4021
254	1374	4014
255	1378	4005
256	1382	3996
257	1386	3988
258	1391	3980
259	1395	3971
260	1399	3963
261	1404	3956
262	1408	3948
263	1413	3939
264	1417	3931
265	1421	3922
266	1425	3914
267	1430	3907
268	1436	3903
269	1441	3898
270	1446	3890
271	1450	3882
272	1455	3874
273	1459	3866
274	1463	3858
275	1469	3853
276	1473	3844
277	1477	3838
278	1482	3830
279	1487	3824
280	1492	3818
281	1496	3811
282	1501	3804
283	1505	3796
284	1510	3788
285	1514	3782
286	1519	3774
287	1523	3766
288	1527	3759
289	1532	3751
290	1536	3743
291	1540	3736
292	1545	3728
293	1549	3721
294	1554	3714
295	1558	3707
296	1563	3700
297	1568	3693
298	1572	3685
299	1576	3678
300	1580	3671
301	1585	3663
302	1589	3656
303	1594	3650
304	1598	3641
305	1602	3633
306	1606	3626
307	1611	3619
308	1617	3616
309	1621	3609
310	1626	3604
311	1631	3597
312	1635	3590
313	1640	3583
314	1645	3579
315	1650	3573
316	1655	3566
317	1660	3561
318	1665	3556
319	1670	3548
320	1675	3543
321	1680	3537
322	1684	3530
323	1688	3523
324	1693	3517
325	1697	3510
326	1702	3503
327	1706	3495
328	1710	3488
329	1714	3481
330	1719	3474
331	1723	3467
332	1727	3460
333	1731	3453
334	1736	3446
335	1741	3440
336	1745	3434
337	1750	3427
338	1754	3420
339	1759	3414
340	1763	3407
341	1767	3400
342	1771	3393
343	1776	3387
344	1780	3380
345	1784	3373
346	1788	3366
347	1794	3362
348	1800	3358
349	1804	3352
350	1809	3345
351	1813	3339
352	1818	3332
353	1823	3327
354	1828	3321
355	1832	3314
356	1837	3309
357	1842	3304
358	1846	3297
359	1851	3291
360	1856	3285
361	1860	3279
362	1865	3273
363	1869	3267
364	1874	3260
365	1878	3253
366	1882	3247
367	1886	3240
368	1891	3233
369	1895	3226
370	1899	3220
371	1903	3214
372	1908	3207
373	1912	3200
374	1916	3194
375	1921	3188
376	1925	3182
377	1930	3175
378	1934	3169
379	1938	3162
380	1942	3156
381	1946	3149
382	1951	3143
383	1955	3136
384	1959	3130
385	1964	3124
386	1968	3117
387	1973	3113
388	1979	3108
389	1983	3103
390	1988	3096
391	1992	3090
392	1996	3084
393	2001	3077
394	2007	3075
395	2012	3069
396	2016	3063
397	2021	3057
398	2025	3051
399	2030	3045
400	2034	3039
401	2039	3033
402	2044	3028
403	2048	3021
404	2052	3015
405	2056	3009
406	2060	3002
407	2065	2996
408	2069	2990
409	2074	2984
410	2078	2978
411	2083	2972
412	2087	2966
413	2091	2960
414	2095	2953
415	2099	2947
416	2104	2942
417	2109	2937
418	2113	2930
419	2118	2925
420	2122	2919
421	2127	2913
422	2131	2907
423	2135	2901
424	2139	2895
425	2144	2889
426	2148	2883
427	2153	2878
428	2159	2873
429	2163	2867
430	2167	2861
431	2171	2855
432	2176	2850
433	2180	2844
434	2186	2839
435	2191	2835
436	2196	2829
437	2201	2824
438	2206	2819
439	2210	2813
440	2214	2806
441	2219	2801
442	2223	2795
443	2227	2789
444	2232	2784
445	2236	2778
446	2240	2772
447	2244	2765
448	2249	2760
449	2253	2754
450	2257	2748
451	2261	2742
452	2266	2737
453	2271	2731
454	2275	2725
455	2279	2719
456	2283	2713
457	2288	2707
458	2292	2702
459	2297	2696
460	2301	2691
461	2306	2685
462	2309	2679
463	2314	2673
464	2318	2667
465	2322	2661
466	2327	2655
467	2332	2651
468	2337	2646
469	2341	2640
470	2346	2635
471	2350	2629
472	2355	2624
473	2360	2619
474	2365	2614
475	2369	2608
476	2374	2603
477	2379	2598
478	2384	2593
479	2389	2588
480	2393	2583
481	2398	2577
482	2402	2571
483	2407	2566
484	2411	2561
485	2416	2555
486	2420	2549
487	2424	2544
488	2429	2538
489	2433	2532
490	2437	2527
491	2442	2521
492	2446	2516
493	2451	2510
494	2455	2504
495	2459	2499
496	2463	2493
497	2468	2488
498	2472	2482
499	2476	2476
500	2480	2470
501	2485	2465
502	2489	2459
503	2493	2454
504	2498	2448
505	2501	2442
506	2506	2437
507	2511	2432
508	2516	2427
509	2521	2422
510	2525	2417
511	2530	2411
512	2535	2407
513	2540	2401
514	2545	2396
515	2549	2391
516	2554	2386
517	2560	2382
518	2564	2376
519	2569	2371
520	2573	2366
521	2577	2360
522	2581	2354
523	2586	2349
524	2589	2343
525	2594	2338
526	2599	2333
527	2603	2327
528	2608	2322
529	2612	2317
530	2617	2311
531	2621	2306
532	2625	2300
533	2630	2295
534	2634	2289
535	2638	2284
536	2642	2278
537	2647	2273
538	2651	2268
539	2656	2262
540	2660	2257
541	2665	2252
542	2669	2247
543	2674	2242
544	2679	2236
545	2683	2231
546	2688	2226
547	2693	2221
548	2698	2217
549	2703	2211
550	2707	2206
551	2712	2201
552	2716	2196
553	2722	2191
554	2727	2187
555	2732	2181
556	2736	2176
557	2741	2171
558	2746	2166
559	2750	2160
560	2754	2155
561	2759	2150
562	2764	2145
563	2768	2140
564	2772	2134
565	2777	2129
566	2782	2124
567	2786	2119
568	2791	2114
569	2795	2109
570	2800	2103
571	2804	2098
572	2809	2093
573	2813	2087
574	2817	2082
575	2821	2077
576	2826	2071
577	2830	2066
578	2834	2061
579	2839	2056
580	2843	2050
581	2848	2045
582	2853	2040
583	2861	2038
584	2866	2033
585	2873	2029
586	2878	2025
587	2884	2021
588	2889	2016
589	2895	2011
590	2902	2008
591	2908	2004
592	2913	1999
593	2919	1995
594	2924	1990
595	2929	1985
596	2935	1981
597	2940	1976
598	2945	1971
599	2950	1967
600	2955	1962
601	2962	1958
602	2966	1953
603	2970	1947
604	2975	1942
605	2979	1937
606	2984	1932
607	2988	1926
608	2993	1921
609	2997	1916
610	3002	1911
611	3006	1906
612	3010	1900
613	3015	1895
614	3019	1890
615	3024	1885
616	3029	1880
617	3033	1874
618	3037	1869
619	3041	1864
620	3046	1859
621	3051	1854
622	3057	1850
623	3062	1845
624	3067	1840
625	3071	1835
626	3076	1830
627	3081	1825
628	3086	1820
629	3090	1815
630	3096	1810
631	3100	1805
632	3105	1800
633	3109	1795
634	3114	1789
635	3118	1784
636	3122	1779
637	3126	1774
638	3131	1768
639	3135	1763
640	3140	1758
641	3145	1753
642	3149	1748
643	3153	1743
644	3158	1738
645	3162	1733
646	3166	1727
647	3171	1722
648	3175	1717
649	3180	1712
650	3184	1707
651	3189	1702
652	3193	1696
653	3197	1691
654	3201	1686
655	3206	1681
656	3211	1676
657	3215	1671
658	3219	1665
659	3223	1660
660	3229	1656
661	3235	1651
662	3239	1646
663	3243	1641
664	3248	1636
665	3253	1631
666	3257	1626
667	3262	1621
668	3269	1617
669	3273	1612
670	3278	1607
671	3281	1601
672	3286	1596
673	3290	1591
674	3295	1586
675	3299	1581
676	3303	1576
677	3308	1571
678	3312	1565
679	3316	1560
680	3320	1555
681	3325	1550
682	3330	1545
683	3334	1540
684	3339	1535
685	3343	1530
686	3348	1525
687	3353	1520
688	3357	1515
689	3361	1510
690	3366	1505
691	3370	1500
692	3374	1494
693	3379	1490
694	3383	1484
695	3388	1479
696	3392	1474
697	3397	1469
698	3401	1464
699	3406	1459
700	3411	1455
701	3416	1450
702	3421	1445
703	3426	1440
704	3430	1435
705	3435	1430
706	3440	1425
707	3445	1420
708	3449	1415
709	3454	1411
710	3459	1406
711	3464	1401
712	3468	1396
713	3472	1391
714	3477	1386
715	3481	1380
716	3485	1375
717	3490	1370
718	3494	1365
719	3498	1360
720	3503	1355
721	3507	1350
722	3511	1345
723	3516	1340
724	3521	1335
725	3525	1330
726	3529	1325
727	3534	1320
728	3538	1315
729	3542	1310
730	3547	1305
731	3551	1300
732	3555	1295
733	3560	1290
734	3564	1285
735	3568	1280
736	3573	1275
737	3579	1270
738	3585	1266
739	3590	1261
740	3595	1256
741	3600	1251
742	3604	1246
743	3609	1241
744	3613	1236
745	3619	1232
746	3623	1227
747	3628	1222
748	3641	1220
749	3646	1215
750	3651	1210
751	3655	1205
752	3659	1200
753	3663	1195
754	3668	1190
755	3672	1185
756	3676	1180
757	3681	1175
758	3685	1170
759	3689	1165
760	3694	1160
761	3698	1155
762	3703	1150
763	3707	1145
764	3711	1140
765	3716	1135
766	3721	1130
767	3725	1125
768	3729	1120
769	3734	1115
770	3738	1110
771	3742	1105
772	3746	1100
773	3750	1095
774	3755	1090
775	3760	1085
776	3764	1080
777	3770	1075
778	3775	1071
779	3780	1066
780	3785	1061
781	3789	1056
782	3794	1051
783	3799	1046
784	3804	1041
785	3808	1036
786	3813	1032
787	3818	1027
788	3823	1022
789	3828	1017
790	3832	1012
791	3836	1007
792	3841	1002
793	3845	997
794	3849	992
795	3854	987
796	3858	982
797	3862	977
798	3867	972
799	3871	967
800	3875	962
801	3880	958
802	3885	953
803	3889	948
804	3894	943
805	3899	938
806	3903	933
807	3907	928
808	3911	923
809	3916	918
810	3920	913
811	3924	908
812	3929	903
813	3933	898
814	3937	893
815	3942	889
816	3948	884
817	3953	879
818	3958	874
819	3962	869
820	3966	864
821	3971	860
822	3977	855
823	3983	850
824	3988	846
825	3992	841
826	3996	836
827	4001	831
828	4006	826
829	4010	821
830	4015	816
831	4019	811
832	4023	806
833	4027	801
834	4031	796
835	4036	791
836	4040	786
837	4044	781
838	4049	777
839	4054	772
840	4058	767
841	4063	762
842	4068	757
843	4072	752
844	4077	747
845	4081	743
846	4086	738
847	4091	733
848	4095	728
849	4101	723
850	4105	718
851	4110	714
852	4119	709
853	4124	705
854	4131	700
855	4136	695
856	4142	691
857	4149	686
858	4154	681
859	4160	677
860	4165	672
861	4170	667
862	4174	662
863	4180	657
864	4185	653
865	4190	648
866	4196	643
867	4200	638
868	4204	633
869	4209	628
870	4214	624
871	4218	619
872	4222	614
873	4227	609
874	4232	604
875	4236	599
876	4242	595
877	4248	590
878	4261	586
879	4281	583
880	4293	579
881	4303	575
882	4319	572
883	4330	568
884	4336	563
885	4340	558
886	4344	553
887	4349	548
888	4355	543
889	4360	538
890	4366	534
891	4371	529
892	4375	524
893	4380	519
894	4387	514
895	4391	509
896	4396	504
897	4401	499
898	4406	495
899	4410	490
900	4417	485
901	4421	480
902	4426	475
903	4431	470
904	4436	465
905	4440	460
906	4445	455
907	4449	450
908	4453	445
909	4458	440
910	4463	436
911	4467	431
912	4472	426
913	4477	421
914	4481	416
915	4485	411
916	4490	406
917	4496	401
918	4503	396
919	4508	392
920	4513	387
921	4517	382
922	4522	377
923	4531	372
924	4536	367
925	4541	362
926	4546	358
927	4551	353
928	4555	348
929	4560	343
930	4564	338
931	4568	333
932	4574	328
933	4578	323
934	4583	318
935	4587	313
936	4592	308
937	4596	303
938	4600	298
939	4606	294
940	4611	289
941	4615	284
942	4621	279
943	4626	274
944	4630	269
945	4635	264
946	4640	259
947	4645	254
948	4650	249
949	4656	245
950	4660	240
951	4664	235
952	4669	230
953	4675	225
954	4679	220
955	4684	215
956	4689	210
957	4693	205
958	4698	200
959	4702	195
